90,90,473,480,480,403,100,409,18,18,18,18,18,18,473,480,480,9999.0,-91,0
101,101,480,505,472,97,52,403,18,19,18,19,20,19,480,505,472,9999.0,-102,0
115,89,453,573,486,48,36,79,21,23,19,23,25,21,470,475,478,9999.0,-116,-26
126,116,577,411,435,40,33,54,25,29,22,29,27,26,435,577,485,9999.0,-127,-10
140,108,395,460,605,35,31,41,34,43,28,28,25,34,487,406,468,9999.0,-141,-32
154,123,440,411,425,34,32,38,56,478,42,27,25,30,548,580,474,9999.0,-155,-31
143,126,408,439,575,43,39,51,47,63,39,36,32,42,563,398,415,9999.0,-144,-17
132,128,579,391,531,59,50,75,44,53,39,49,42,47,572,380,391,9999.0,-133,-4
140,135,365,442,580,60,53,71,58,513,49,49,43,58,541,410,542,9999.0,-141,-5
129,129,564,360,381,82,68,106,56,66,50,66,58,59,564,360,381,9999.0,-130,0
140,130,347,428,563,76,68,91,563,498,65,65,57,76,563,347,377,9999.0,-141,-10
129,135,545,341,364,467,88,414,615,562,66,86,77,76,513,373,517,9999.0,-130,6
118,131,351,526,436,403,451,374,787,615,68,85,96,80,542,325,483,9999.0,-119,13
104,131,418,339,407,358,380,348,75,769,73,87,93,85,530,312,473,9999.0,-105,27
92,127,396,404,399,340,347,343,81,726,81,95,97,95,495,321,326,9999.0,-93,35
78,124,394,386,416,340,333,358,90,88,95,107,105,113,465,479,307,9999.0,-79,46
64,122,415,389,461,362,339,279,105,98,117,743,121,490,440,487,309,9999.0,-65,58
53,122,453,406,531,267,334,467,127,114,149,512,471,436,426,476,290,9999.0,-54,69
39,122,557,465,604,451,413,281,173,144,160,401,475,356,413,465,271,9999.0,-40,83
25,116,590,590,771,258,413,351,167,185,157,337,373,316,260,418,346,9999.0,-26,91
14,112,773,592,752,335,241,326,170,180,165,309,328,300,239,384,333,9999.0,-15,98
0,108,755,659,766,314,318,318,177,179,748,296,300,300,276,236,317,9999.0,-1,108
345,104,323,760,334,312,303,333,775,751,517,303,294,217,311,215,302,9999.0,14,119
334,100,339,346,163,322,301,358,535,791,495,207,289,359,294,236,290,9999.0,25,126
320,95,172,354,205,364,322,434,450,567,377,376,333,364,280,288,280,9999.0,39,135
309,89,211,177,253,427,356,554,371,438,329,346,382,187,269,272,273,9999.0,50,140
317,89,186,367,221,353,308,430,423,528,360,379,343,324,259,262,263,9999.0,42,132
306,89,226,194,267,427,348,572,355,415,320,180,361,177,251,254,255,9999.0,53,143
317,82,210,366,219,330,288,402,424,530,362,355,344,171,244,242,254,9999.0,42,125
306,81,221,217,284,400,326,535,360,419,323,160,338,184,237,235,248,9999.0,53,135
317,71,384,360,211,312,273,380,431,540,368,336,350,155,242,231,261,9999.0,42,114
306,59,211,385,282,379,309,508,367,427,330,148,321,198,260,239,295,9999.0,53,113
317,59,400,351,210,297,260,362,442,553,377,165,358,151,254,233,289,9999.0,42,102
306,44,213,400,263,362,296,485,377,439,339,161,155,216,306,263,381,9999.0,53,98
295,36,262,214,290,496,366,549,342,378,320,231,174,217,357,292,478,9999.0,64,101
303,36,214,389,270,378,302,526,375,430,342,192,154,223,350,286,469,9999.0,56,93
317,36,377,335,360,277,242,337,469,587,400,150,372,182,345,282,462,9999.0,42,79
306,36,360,378,220,338,276,453,400,466,360,194,158,221,338,276,453,9999.0,53,90
295,36,217,359,305,463,341,530,363,401,340,216,207,203,333,272,446,9999.0,64,101
303,36,356,384,222,351,281,491,398,457,362,227,181,208,326,266,437,9999.0,56,93
295,36,217,368,312,446,329,519,374,414,351,208,224,195,321,262,430,9999.0,64,101
303,36,363,370,217,341,273,475,410,470,373,221,196,202,316,258,423,9999.0,56,93
295,36,225,377,277,430,317,509,385,426,361,200,221,188,310,253,415,9999.0,64,101
303,36,371,356,224,328,262,458,421,482,383,213,209,194,305,248,407,9999.0,56,93
295,36,348,385,242,413,305,499,395,437,370,193,213,181,297,243,398,9999.0,64,101
303,36,380,341,232,315,252,440,432,496,394,205,224,186,292,239,391,9999.0,56,93
295,36,356,394,225,397,292,489,406,449,381,185,205,173,285,233,382,9999.0,64,101
281,36,250,349,326,476,459,678,380,399,373,168,176,165,280,229,376,9999.0,78,115
292,21,354,387,228,432,305,473,407,445,386,174,190,165,451,314,471,9999.0,67,89
281,21,230,354,331,466,445,668,390,410,383,162,171,160,445,310,466,9999.0,78,100
292,11,358,391,232,421,298,462,419,458,397,170,186,161,460,440,662,9999.0,67,79
281,11,233,357,334,455,437,657,401,422,394,160,168,157,455,437,657,9999.0,78,90
292,11,362,370,236,413,292,450,431,471,408,167,182,158,449,431,651,9999.0,67,79
281,11,237,362,338,443,426,645,413,434,406,155,163,153,443,426,645,9999.0,78,90
292,11,365,349,346,405,286,439,443,484,420,163,179,155,437,423,640,9999.0,67,79
281,11,347,365,236,431,417,634,424,446,417,152,160,150,431,417,634,9999.0,78,90
292,11,368,326,349,397,281,427,456,498,432,160,175,152,425,415,628,9999.0,67,79
281,11,350,368,239,420,409,623,329,458,428,149,157,147,420,409,623,9999.0,78,90
292,11,372,306,353,387,273,415,468,511,443,156,170,148,414,403,617,9999.0,67,79
281,11,353,371,242,409,400,612,340,470,439,146,154,144,409,400,612,9999.0,78,90
292,11,376,287,356,378,267,404,480,524,455,153,167,145,403,395,606,9999.0,67,79
281,11,356,374,245,397,393,600,352,483,451,143,150,141,397,393,600,9999.0,78,90
